"";"x"
"1";22,1285559875583
"2";27,901231726283
"3";16,3558802488335
"4";27,901231726283
"5";27,901231726283
"6";16,3558802488335
"7";22,1285559875583
"8";16,3558802488335
"9";16,3558802488335
"10";16,3558802488335
"11";27,901231726283
"12";27,901231726283
"13";22,1285559875583
"14";16,3558802488335
"15";16,3558802488335
"16";27,901231726283
"17";16,3558802488335
"18";16,3558802488335
"19";27,901231726283
"20";22,1285559875583
"21";16,3558802488335
"22";27,901231726283
"23";16,3558802488335
"24";16,3558802488335
"25";16,3558802488335
"26";16,3558802488335
"27";16,3558802488335
"28";16,3558802488335
"29";16,3558802488335
"30";22,1285559875583
"31";16,3558802488335
"32";16,3558802488335
"33";16,3558802488335
"34";16,3558802488335
"35";16,3558802488335
"36";16,3558802488335
"37";16,3558802488335
"38";16,3558802488335
"39";16,3558802488335
"40";16,3558802488335
"41";16,3558802488335
"42";16,3558802488335
"43";16,3558802488335
"44";16,3558802488335
"45";16,3558802488335
"46";22,1285559875583
"47";27,901231726283
"48";16,3558802488335
"49";22,1285559875583
"50";16,3558802488335
"51";16,3558802488335
"52";16,3558802488335
"53";27,901231726283
"54";16,3558802488335
"55";22,1285559875583
"56";27,901231726283
"57";16,3558802488335
"58";33,6739074650078
"59";22,1285559875583
"60";22,1285559875583
"61";16,3558802488335
"62";16,3558802488335
"63";16,3558802488335
"64";16,3558802488335
"65";16,3558802488335
"66";16,3558802488335
"67";16,3558802488335
"68";27,901231726283
"69";16,3558802488335
"70";22,1285559875583
"71";27,901231726283
"72";16,3558802488335
"73";33,6739074650078
"74";16,3558802488335
"75";10,5832045101088
"76";16,3558802488335
"77";27,901231726283
"78";16,3558802488335
"79";22,1285559875583
"80";16,3558802488335
"81";16,3558802488335
